Date,Start_M,Stdry_M,Start_K,Stdry_K,NDVI
1986,280,280,266,266,
1987,261,261,283,283,
1988,277,277,277,277,
1989,269,269,262,262,
1990,268,268,278,278,
1991,286,286,291,291,
1992,254,254,288,288,
1993,290,290,298,298,
1994,286,286,276,276,
1995,271,271,251,251,
1996,252,252,251,251,
1997,292,292,285,285,
1998,247,247,272,272,
1999,331,331,267,267,
2000,296,296,294,294,0.472022
2001,263,263,264,264,0.5822234690220174
2002,315,315,256,294,0.5434713197644648
2003,249,249,291,291,0.5650137288786482
2004,297,297,272,272,0.533496143863552
2005,249,249,249,249,0.5384003264208909
2006,307,307,261,295,0.5244135752688172
2007,248,272,249,295,0.5916767665130569
2008,279,279,287,299,0.5577232851316278
2009,281,281,262,303,0.5606706029185867
2010,312,312,264,280,0.5634034562211983
2011,273,273,257,257,0.5734580773169483
2012,251,251,270,283,0.5703291465826226
2013,277,277,265,265,0.5588333973374295
2014,248,292,249,249,0.550352758576549
2015,282,282,274,274,0.5582397081413211
2016,278,332,306,306,0.5357620504263997
2017,258,258,260,260,0.5257271185355862
